Variant SKU,Variant Inventory Qty,Variant Command
148264,4,UPDATE
311208,24,UPDATE
311203,42,UPDATE
47092,67,UPDATE
817612,38,UPDATE
133725,52,UPDATE
807204,22,UPDATE
51723,99,UPDATE
134508,31,UPDATE
834427,50,UPDATE
288200,78,UPDATE
241515,65,UPDATE
47852,46,UPDATE
47300,145,UPDATE
321179,30,UPDATE
288240,65,UPDATE
45946,13,UPDATE
800990,44,UPDATE
241337,161,UPDATE
240153,76,UPDATE
288950,183,UPDATE
319989,24,UPDATE
45106,184,UPDATE
242556,97,UPDATE
133518,79,UPDATE
247922,14,UPDATE
326796,18,UPDATE
50530,31,UPDATE
244128,53,UPDATE
820214,2,UPDATE
286038,9,UPDATE
811736,38,UPDATE
823023,81,UPDATE
310031,25,UPDATE
240118,60,UPDATE
286492,7,UPDATE
288199,9,UPDATE
362952,18,UPDATE
47211,6,UPDATE
316207,143,UPDATE
829932,77,UPDATE
319811,22,UPDATE
328069,185,UPDATE
826730,7,UPDATE
45654,60,UPDATE
44007,134,UPDATE
47012,135,UPDATE
47027,138,UPDATE
47129,143,UPDATE
93453,7,UPDATE
133494,177,UPDATE
808903,166,UPDATE
283845,41,UPDATE
311132,196,UPDATE
311236,41,UPDATE
317765,20,UPDATE
319233,17,UPDATE
319341,78,UPDATE
336389,9,UPDATE
332785,27,UPDATE
810048,158,UPDATE
812983,66,UPDATE
820443,125,UPDATE
331617,48,UPDATE
340983,100,UPDATE
810525,19,UPDATE
812618,86,UPDATE
282422,20,UPDATE
335923,90,UPDATE
318986,23,UPDATE
319064,195,UPDATE
3114606,76,UPDATE
834025,156,UPDATE
3197617,61,UPDATE
3155353,113,UPDATE
3087148,89,UPDATE
3071676,33,UPDATE
834534,0,UPDATE
342895,122,UPDATE
806965,29,UPDATE
810017,169,UPDATE
3101213,27,UPDATE
3203352,175,UPDATE
3104343,27,UPDATE
3071681,77,UPDATE
3114137,125,UPDATE
3104928,25,UPDATE
3082703,10,UPDATE
3083345,10,UPDATE
3071591,77,UPDATE
275112,34,UPDATE
3139829,52,UPDATE
3185315,60,UPDATE
272225,169,UPDATE
48395,181,UPDATE
313407,184,UPDATE
48472,63,UPDATE
48479,78,UPDATE
3093533,39,UPDATE
3096570,149,UPDATE
3059646,27,UPDATE
3079644,33,UPDATE
364527,165,UPDATE
283175,86,UPDATE
806106,141,UPDATE
804873,33,UPDATE
145875,91,UPDATE
813037,12,UPDATE
43724,198,UPDATE
3188242,156,UPDATE
3071496,90,UPDATE
3152743,4,UPDATE
3155391,57,UPDATE
3192167,42,UPDATE
372138,1,UPDATE
372434,127,UPDATE
136586,8,UPDATE
3204368,135,UPDATE
3206959,19,UPDATE
3206971,27,UPDATE
3206965,96,UPDATE
3207070,62,UPDATE
3207098,62,UPDATE
835040,86,UPDATE
364221,90,UPDATE
3209002,71,UPDATE
3209023,34,UPDATE
837935,109,UPDATE
3197566,34,UPDATE
839924,109,UPDATE
3212597,39,UPDATE
3249532,152,UPDATE
3249842,152,UPDATE
3250422,152,UPDATE
3249312,152,UPDATE
3249972,152,UPDATE
3250022,152,UPDATE
3221627,95,UPDATE
3258541,144,UPDATE
3258205,144,UPDATE
3258499,144,UPDATE
3221317,192,UPDATE
3222825,101,UPDATE
3249402,152,UPDATE
373219,20,UPDATE
312488,107,UPDATE
842380,41,UPDATE
4004907,104,UPDATE
3207774,14,UPDATE
48760,93,UPDATE
368280,16,UPDATE
3213773,12,UPDATE
3209601,10,UPDATE
368747,120,UPDATE
3208804,13,UPDATE
3221757,177,UPDATE
3270590,26,UPDATE
806663,15,UPDATE
3283812,55,UPDATE
44864,62,UPDATE
3120480,42,UPDATE
3114102,200,UPDATE
3120185,121,UPDATE
3281550,80,UPDATE
3121059,30,UPDATE
155998,43,UPDATE
374798,13,UPDATE
3283908,131,UPDATE
3213564,12,UPDATE
368036,196,UPDATE
3277853,121,UPDATE
3277937,72,UPDATE
3277949,59,UPDATE
4004991,1,UPDATE
4006154,44,UPDATE
3208375,12,UPDATE
3208406,14,UPDATE
3208438,20,UPDATE
284668,41,UPDATE
3208010,14,UPDATE
3206420,0,UPDATE
3283833,8,UPDATE
3140579,58,UPDATE
3142219,57,UPDATE
3142299,57,UPDATE
3140849,15,UPDATE
3123242,144,UPDATE
3130281,85,UPDATE
3131955,16,UPDATE
3129793,38,UPDATE
3101218,137,UPDATE
3101148,47,UPDATE
284441,12,UPDATE
3082891,40,UPDATE
276402,38,UPDATE
338062,77,UPDATE
3136719,49,UPDATE
3130105,15,UPDATE
3104058,27,UPDATE
3121618,150,UPDATE
3125034,77,UPDATE
3119571,199,UPDATE
346394,23,UPDATE
350775,110,UPDATE
3124039,199,UPDATE
4000909,54,UPDATE
3281919,74,UPDATE
376174,30,UPDATE
3284111,184,UPDATE
3208536,14,UPDATE
3268508,192,UPDATE
3268728,177,UPDATE
3288153,8,UPDATE
3285867,8,UPDATE
3291144,4,UPDATE
3069720,16,UPDATE
3286537,10,UPDATE
850707,39,UPDATE
810791,35,UPDATE
822162,48,UPDATE
852740,125,UPDATE
3285534,51,UPDATE
241279,99,UPDATE
3291906,51,UPDATE
3281429,119,UPDATE
3292767,8,UPDATE
3290453,8,UPDATE
360427,15,UPDATE
3301971,33,UPDATE
3277135,100,UPDATE
3291525,36,UPDATE
853257,144,UPDATE
853304,70,UPDATE
3323917,53,UPDATE
3323941,53,UPDATE
3284166,171,UPDATE
3285340,10,UPDATE
3321897,53,UPDATE
3309188,42,UPDATE
3309920,53,UPDATE
3322816,10,UPDATE
322178,38,UPDATE
284510,16,UPDATE
858160,105,UPDATE
3221267,192,UPDATE
856282,150,UPDATE
311075,167,UPDATE
41534,185,UPDATE
346740,49,UPDATE
3328105,90,UPDATE
859953,68,UPDATE
3082030,200,UPDATE
136874,14,UPDATE
860326,38,UPDATE
3312319,59,UPDATE
3313038,8,UPDATE
3313287,8,UPDATE
3313983,86,UPDATE
3313700,32,UPDATE
3313134,86,UPDATE
3312784,37,UPDATE
3128407,57,UPDATE
859932,46,UPDATE
153572,199,UPDATE
3196962,12,UPDATE
4016845,78,UPDATE
3213706,14,UPDATE
3310743,14,UPDATE
857072,144,UPDATE
3207013,47,UPDATE
3318585,13,UPDATE
3310673,14,UPDATE
3327443,144,UPDATE
3327436,144,UPDATE
4016502,36,UPDATE
4102716,22,UPDATE
3328454,31,UPDATE
3258520,144,UPDATE
3291927,51,UPDATE
3287313,51,UPDATE
344863,120,UPDATE
362688,194,UPDATE
46221,33,UPDATE
244071,12,UPDATE
244702,21,UPDATE
242406,68,UPDATE
48576,111,UPDATE
325465,24,UPDATE
274886,21,UPDATE
274884,26,UPDATE
315067,58,UPDATE
314166,32,UPDATE
352712,148,UPDATE
319501,53,UPDATE
345737,7,UPDATE
345929,44,UPDATE
346684,42,UPDATE
361730,77,UPDATE
3053038,0,UPDATE
3059754,102,UPDATE
3059777,102,UPDATE
3069508,172,UPDATE
3069607,45,UPDATE
3069716,16,UPDATE
3069908,172,UPDATE
3070007,45,UPDATE
3073197,18,UPDATE
3055188,16,UPDATE
3068868,172,UPDATE
91753,37,UPDATE
315444,125,UPDATE
41556,97,UPDATE
48503,72,UPDATE
140896,174,UPDATE
318837,40,UPDATE
313929,190,UPDATE
287910,99,UPDATE
312075,133,UPDATE
348591,196,UPDATE
815261,117,UPDATE
810802,100,UPDATE
802961,85,UPDATE
313342,113,UPDATE
313850,81,UPDATE
364373,63,UPDATE
808320,122,UPDATE
44337,15,UPDATE
323976,62,UPDATE
242871,42,UPDATE
812900,23,UPDATE
3099236,98,UPDATE
3099255,98,UPDATE
3124328,32,UPDATE
3125082,39,UPDATE
3125861,32,UPDATE
3125979,106,UPDATE
3127087,58,UPDATE
3127847,59,UPDATE
3128247,58,UPDATE
3121916,32,UPDATE
3130235,58,UPDATE
347694,74,UPDATE
347696,58,UPDATE
3131315,16,UPDATE
3131715,16,UPDATE
3132195,16,UPDATE
3133629,15,UPDATE
3133725,85,UPDATE
3136559,49,UPDATE
3140339,59,UPDATE
3140609,15,UPDATE
3131395,16,UPDATE
3144484,57,UPDATE
3142059,58,UPDATE
3127942,156,UPDATE
356355,122,UPDATE
815268,49,UPDATE
816585,105,UPDATE
240739,98,UPDATE
350360,37,UPDATE
813578,43,UPDATE
134491,93,UPDATE
47858,165,UPDATE
813370,1,UPDATE
322371,3,UPDATE
319316,79,UPDATE
145628,58,UPDATE
821597,6,UPDATE
318823,137,UPDATE
808928,128,UPDATE
288179,23,UPDATE
326196,13,UPDATE
800750,118,UPDATE
240110,56,UPDATE
281857,1,UPDATE
247667,12,UPDATE
819415,60,UPDATE
92310,127,UPDATE
244291,44,UPDATE
319323,40,UPDATE
817595,137,UPDATE
829938,86,UPDATE
827084,23,UPDATE
829925,26,UPDATE
318260,78,UPDATE
284283,54,UPDATE
47024,200,UPDATE
328063,172,UPDATE
3197635,61,UPDATE
3197110,15,UPDATE
3197457,46,UPDATE
3197462,104,UPDATE
3196619,32,UPDATE
800255,183,UPDATE
3197062,15,UPDATE
42279,17,UPDATE
92985,35,UPDATE
131251,10,UPDATE
284288,89,UPDATE
318856,25,UPDATE
319232,113,UPDATE
340070,124,UPDATE
363162,11,UPDATE
812594,8,UPDATE
820442,121,UPDATE
153584,99,UPDATE
336128,10,UPDATE
344856,117,UPDATE
353169,48,UPDATE
815441,200,UPDATE
240791,14,UPDATE
288970,152,UPDATE
282423,11,UPDATE
246986,7,UPDATE
282304,32,UPDATE
322276,87,UPDATE
323983,15,UPDATE
3072440,161,UPDATE
3114534,153,UPDATE
3096592,119,UPDATE
3188243,156,UPDATE
3197689,61,UPDATE
3196914,12,UPDATE
813366,100,UPDATE
823927,3,UPDATE
342894,103,UPDATE
810082,120,UPDATE
810505,186,UPDATE
3069078,15,UPDATE
3105790,27,UPDATE
3071675,90,UPDATE
3103993,27,UPDATE
3114136,110,UPDATE
3152735,4,UPDATE
3071586,33,UPDATE
48410,168,UPDATE
358641,88,UPDATE
3105660,27,UPDATE
48444,21,UPDATE
3081900,103,UPDATE
3082065,54,UPDATE
3069396,16,UPDATE
3070116,16,UPDATE
3070627,121,UPDATE
44976,90,UPDATE
810896,163,UPDATE
812528,183,UPDATE
326996,49,UPDATE
247631,49,UPDATE
143565,171,UPDATE
151962,68,UPDATE
817941,42,UPDATE
824528,82,UPDATE
810077,47,UPDATE
3105945,25,UPDATE
3115998,134,UPDATE
3120186,125,UPDATE
3155344,33,UPDATE
3192147,42,UPDATE
372365,135,UPDATE
353957,178,UPDATE
356479,14,UPDATE
364551,86,UPDATE
3204537,127,UPDATE
3207031,19,UPDATE
3207071,61,UPDATE
836648,34,UPDATE
365555,104,UPDATE
373031,20,UPDATE
3212594,80,UPDATE
365197,163,UPDATE
3249512,152,UPDATE
3249552,152,UPDATE
3249422,152,UPDATE
3249952,152,UPDATE
3249592,152,UPDATE
3249332,152,UPDATE
3249372,152,UPDATE
3221067,192,UPDATE
3225510,101,UPDATE
347836,54,UPDATE
3249862,152,UPDATE
3250002,152,UPDATE
3221607,95,UPDATE
3222805,101,UPDATE
3258807,144,UPDATE
3272729,101,UPDATE
3249682,152,UPDATE
3249822,152,UPDATE
3258219,144,UPDATE
3213565,12,UPDATE
3225531,101,UPDATE
3225538,101,UPDATE
3265097,177,UPDATE
4004353,63,UPDATE
4004565,30,UPDATE
3258233,70,UPDATE
3214341,46,UPDATE
318068,37,UPDATE
3207915,12,UPDATE
3249992,152,UPDATE
3214030,13,UPDATE
368746,57,UPDATE
4004609,113,UPDATE
4000010,5,UPDATE
3222845,101,UPDATE
361571,61,UPDATE
3280412,11,UPDATE
3283818,112,UPDATE
3283824,23,UPDATE
368765,141,UPDATE
368767,92,UPDATE
3281532,80,UPDATE
3120694,167,UPDATE
3114478,153,UPDATE
3283923,132,UPDATE
3208514,11,UPDATE
3280639,14,UPDATE
3277865,90,UPDATE
3277901,182,UPDATE
371003,16,UPDATE
3104473,27,UPDATE
3101018,27,UPDATE
809978,150,UPDATE
3142459,57,UPDATE
3128647,57,UPDATE
3141659,58,UPDATE
3126637,15,UPDATE
3126527,59,UPDATE
3132115,16,UPDATE
3119603,98,UPDATE
3123035,49,UPDATE
3101343,47,UPDATE
3131795,16,UPDATE
3105530,27,UPDATE
3105400,27,UPDATE
3103643,27,UPDATE
321992,97,UPDATE
3121411,90,UPDATE
3124520,65,UPDATE
3122108,106,UPDATE
3124071,98,UPDATE
3261749,97,UPDATE
3261761,97,UPDATE
4005900,3,UPDATE
3276863,100,UPDATE
3070336,33,UPDATE
365446,70,UPDATE
3285128,8,UPDATE
3216130,18,UPDATE
3284469,8,UPDATE
3285853,8,UPDATE
3291130,4,UPDATE
3288167,8,UPDATE
3286211,15,UPDATE
135223,144,UPDATE
3287327,51,UPDATE
3308074,168,UPDATE
3308186,83,UPDATE
3292228,62,UPDATE
3305720,21,UPDATE
336114,56,UPDATE
3291913,50,UPDATE
3307662,90,UPDATE
3292753,8,UPDATE
3290467,8,UPDATE
3281331,119,UPDATE
3306873,10,UPDATE
852935,183,UPDATE
3291518,36,UPDATE
3286859,10,UPDATE
3291532,36,UPDATE
3291539,36,UPDATE
4016557,29,UPDATE
3264204,177,UPDATE
853199,199,UPDATE
853261,155,UPDATE
855379,32,UPDATE
3322391,53,UPDATE
3322469,53,UPDATE
3322296,18,UPDATE
3322726,10,UPDATE
852445,92,UPDATE
854355,4,UPDATE
822259,36,UPDATE
3207044,62,UPDATE
856220,131,UPDATE
855261,180,UPDATE
3323824,53,UPDATE
281614,125,UPDATE
3131458,65,UPDATE
3323692,53,UPDATE
858156,157,UPDATE
858161,113,UPDATE
857685,14,UPDATE
858149,140,UPDATE
858163,100,UPDATE
3221647,95,UPDATE
3291151,10,UPDATE
3208650,12,UPDATE
326485,5,UPDATE
3321585,27,UPDATE
856579,136,UPDATE
311133,198,UPDATE
851404,22,UPDATE
856350,83,UPDATE
3325891,90,UPDATE
3325940,43,UPDATE
3284216,111,UPDATE
324854,52,UPDATE
859950,77,UPDATE
3314680,29,UPDATE
136889,6,UPDATE
854194,32,UPDATE
3281966,27,UPDATE
49442,128,UPDATE
3313121,8,UPDATE
3313204,8,UPDATE
3311423,8,UPDATE
3272290,95,UPDATE
3314751,50,UPDATE
3314874,40,UPDATE
4014927,20,UPDATE
4101059,3,UPDATE
3264064,192,UPDATE
3310721,11,UPDATE
3310581,11,UPDATE
857071,127,UPDATE
3310651,11,UPDATE
3365762,1,UPDATE
3365900,147,UPDATE
4100570,7,UPDATE
334733,4,UPDATE
3207639,72,UPDATE
859062,65,UPDATE
3203751,20,UPDATE
815483,26,UPDATE
3325898,90,UPDATE
351876,9,UPDATE
837974,72,UPDATE
4016833,63,UPDATE
3287306,51,UPDATE
318327,181,UPDATE
3095025,156,UPDATE
3060104,156,UPDATE
830576,23,UPDATE
247635,38,UPDATE
42475,97,UPDATE
276405,13,UPDATE
289371,27,UPDATE
314195,197,UPDATE
314226,98,UPDATE
335350,48,UPDATE
342517,21,UPDATE
346060,150,UPDATE
346370,51,UPDATE
349482,136,UPDATE
3051238,16,UPDATE
3061580,32,UPDATE
3064052,32,UPDATE
